playlist.id,playlist.name,TOP_1_keyword,TOP_1_keyword_freq,TOP_2_keyword,TOP_2_keyword_freq,TOP_3_keyword,TOP_3_keyword_freq,TOP_4_keyword,TOP_4_keyword_freq,TOP_5_keyword,TOP_5_keyword_freq,TOP_6_keyword,TOP_6_keyword_freq,TOP_7_keyword,TOP_7_keyword_freq,TOP_8_keyword,TOP_8_keyword_freq,TOP_9_keyword,TOP_9_keyword_freq,TOP_10_keyword,TOP_10_keyword_freq
37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,christmas,186,oh,100,let,82,love,81.0,na,79.0,know,69.0,yeah,65.0,snow,65.0,baby,62.0,want,61.0
37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,christmas,66,oh,56,yeah,52,like,44.0,want,43.0,year,39.0,love,35.0,tell,33.0,heart,33.0,gave,33.0
37i9dQZEVXbJWuzDrTxbKS,Top 50 - Latvia,christmas,244,na,210,love,206,know,194.0,wan,182.0,yeah,148.0,like,144.0,baby,136.0,let,133.0,time,128.0
37i9dQZEVXbMx56Rdq5lwc,Top 50 - Lithuania,christmas,272,love,219,na,215,yeah,175.0,wan,173.0,know,170.0,baby,155.0,like,151.0,oh,151.0,let,127.0
37i9dQZEVXbKGcyg6TFGx6,Top 50 - Luxembourg,christmas,303,oh,192,yeah,191,na,159.0,like,156.0,love,145.0,know,144.0,baby,139.0,make,127.0,got,113.0
37i9dQZEVXbJlfUljuZExa,Top 50 - Malaysia,yeah,140,love,139,like,127,na,120.0,know,111.0,baby,109.0,wan,105.0,oh,96.0,got,91.0,nan,84.0
37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,baby,30,christmas,29,jingle,29,know,25.0,oh,22.0,bell,21.0,want,20.0,yeah,19.0,time,19.0,gave,18.0
37i9dQZEVXbJU9eQpX8gPT,Top 50 - Morocco,oh,117,yeah,110,like,91,love,75.0,know,73.0,got,70.0,la,57.0,baby,56.0,make,55.0,get,54.0
37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,christmas,402,love,188,know,187,oh,186.0,na,145.0,yeah,142.0,like,132.0,baby,132.0,let,121.0,time,118.0
37i9dQZEVXbM8SIrkERIYl,Top 50 - New Zealand,christmas,311,know,305,oh,303,yeah,273.0,like,266.0,got,256.0,na,254.0,wan,208.0,love,206.0,baby,186.0
37i9dQZEVXbISk8kxnzfCq,Top 50 - Nicaragua,دان,30,christmas,29,yeah,28,لا,24.0,want,20.0,oh,20.0,flower,18.0,gave,18.0,ألا,17.0,هو,17.0
37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,christmas,176,na,139,know,137,wan,120.0,oh,111.0,love,104.0,let,95.0,snow,79.0,nan,70.0,like,68.0
37i9dQZEVXbKypXHVwk1f0,Top 50 - Panama,oh,31,دان,30,jingle,29,لا,24.0,know,23.0,make,23.0,want,22.0,christmas,22.0,baby,21.0,bell,21.0
37i9dQZEVXbJfdy5b0KP7W,Top 50 - Peru,دان,30,yeah,29,jingle,29,لا,24.0,bell,21.0,oh,20.0,time,20.0,want,20.0,flower,18.0,ألا,17.0
37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,na,120,like,115,baby,110,yeah,109.0,love,103.0,oh,93.0,know,92.0,wan,88.0,nan,76.0,let,72.0
37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,christmas,205,love,149,na,139,yeah,137.0,know,131.0,oh,123.0,wan,116.0,like,102.0,baby,92.0,let,91.0
37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,christmas,163,yeah,144,know,137,love,120.0,na,113.0,let,108.0,time,101.0,wan,96.0,baby,94.0,wo,83.0
37i9dQZEVXbLrQBcXqUtaC,Top 50 - Saudi Arabia,know,167,na,145,yeah,124,got,114.0,like,109.0,baby,104.0,oh,104.0,never,100.0,love,92.0,get,90.0
37i9dQZEVXbK4gjvS1FjPY,Top 50 - Singapore,like,207,yeah,198,christmas,183,baby,170.0,know,166.0,oh,151.0,na,149.0,love,136.0,wan,126.0,got,122.0
37i9dQZEVXbKIVTPX9a2Sb,Top 50 - Slovakia,christmas,243,love,170,know,151,na,132.0,yeah,122.0,like,117.0,oh,115.0,let,115.0,wan,113.0,nan,94.0
37i9dQZEVXbMH2jvi6jvjk,Top 50 - South Africa,like,227,got,210,know,187,yeah,172.0,na,151.0,get,139.0,wan,137.0,oh,133.0,love,130.0,time,118.0
37i9dQZEVXbNxXF4SkHj9F,Top 50 - South Korea,yeah,351,oh,171,get,140,like,137.0,baby,121.0,na,114.0,go,107.0,내,102.0,christmas,101.0,love,100.0
37i9dQZEVXbNFJfN1Vw8d9,Top 50 - Spain,let,60,baby,48,snow,45,yeah,42.0,christmas,41.0,know,36.0,jingle,28.0,wo,26.0,love,25.0,year,25.0
6zFJ2HTXC3d38AgpfcPGph,Top 50 - Suriname,oh,124,yeah,107,like,105,lo,103.0,baby,96.0,know,95.0,dey,92.0,make,91.0,na,90.0,go,88.0
37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,christmas,166,na,109,know,102,love,94.0,wan,94.0,let,91.0,snow,68.0,time,63.0,year,61.0,merry,61.0
37i9dQZEVXbJiyhoAPEfMK,Top 50 - Switzerland,christmas,337,yeah,211,like,202,na,194.0,oh,191.0,love,172.0,wan,151.0,know,135.0,baby,133.0,got,124.0
37i9dQZEVXbMnZEatlMSiu,Top 50 - Taiwan,oh,71,yeah,69,like,67,know,51.0,right,51.0,christmas,51.0,love,50.0,nan,44.0,want,43.0,baby,40.0
37i9dQZEVXbMnz8KIWsvf9,Top 50 - Thailand,yeah,67,oh,58,love,53,know,50.0,want,49.0,like,42.0,tell,42.0,nan,39.0,get,36.0,flower,36.0
37i9dQZEVXbIVYVBNw9D5K,Top 50 - Turkey,love,25,na,21,another,20,wan,17.0,gaga,16.0,hands,15.0,used,14.0,tears,12.0,oh,12.0,dance,12.0
37i9dQZEVXbM4UZuIrvHvA,Top 50 - UAE,oh,220,yeah,209,christmas,206,na,203.0,like,194.0,know,191.0,love,173.0,time,170.0,got,167.0,wan,165.0
37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,christmas,312,like,299,yeah,254,got,227.0,know,217.0,na,187.0,oh,186.0,baby,185.0,get,173.0,want,168.0
37i9dQZEVXbKkidEfWYRuD,Top 50 - Ukraine,love,113,face,81,got,74,spit,72.0,know,67.0,fuck,65.0,wo,56.0,na,53.0,get,49.0,shit,47.0
37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,christmas,379,oh,268,know,234,na,229.0,yeah,204.0,wan,190.0,like,176.0,love,176.0,let,159.0,got,149.0
37i9dQZEVXbLdGSmz6xilI,Top 50 - Vietnam,yeah,142,oh,128,like,79,love,71.0,got,70.0,let,64.0,baby,61.0,know,56.0,tell,54.0,run,54.0
5atgcoJ9pDa39CzCYdXkRi,Top 50 Polska,yeah,68,ca,66,let,62,like,50.0,get,43.0,oh,37.0,one,29.0,away,23.0,love,22.0,baby,22.0
3seAKhZ9QXirBjL9lazOi4,Top 50+ Zimbabwe,dey,254,yeah,234,oh,208,love,206.0,go,205.0,know,193.0,like,131.0,make,126.0,girl,124.0,na,123.0
4Gc9TFxlqmoe50m9Yy78ei,Top Urban Underground,like,13,got,11,money,10,get,10.0,yeah,10.0,could,8.0,never,8.0,make,8.0,need,7.0,back,6.0
2yofeyPwe0ZNmJHTrGz2Qt,Trance Party 2019 by FUTURE TRANCE,nah,110,never,57,get,44,stay,37.0,time,34.0,love,33.0,oh,33.0,together,32.0,let,32.0,loving,26.0
37DFLy7lqF3qiR99Ss2ZGR,Trap 2020 🔥,que,16,yeah,14,one,10,top,10.0,de,6.0,drums,5.0,ey,5.0,con,5.0,mi,5.0,ay,5.0
7tkgK1tm9hYkWp7EFyOcAr,Trap Americana,yeah,491,like,259,got,227,bitch,190.0,nigga,137.0,ai,124.0,get,119.0,niggas,116.0,fuck,98.0,ooh,95.0
37i9dQZF1DWTGaQ84g8alz,Trap Funk,like,10,eu,9,vem,7,e,7.0,na,6.0,você,6.0,pra,6.0,wo,5.0,baile,5.0,mais,5.0
37i9dQZF1DXde9tuMHuIsj,Trap Land,stars,151,five,150,en,11,yeah,11.0,el,10.0,wuh,8.0,cinco,8.0,lifestyle,7.0,lo,7.0,tengo,7.0
37i9dQZF1DX1OIMC8iDi74,Trap Mojito,yeah,46,ooh,42,love,35,late,32.0,know,31.0,go,30.0,much,30.0,blame,28.0,level,26.0,smoke,24.0
0NCspsyf0OS4BsPgGhkQXM,Trap Nation,back,74,oh,60,know,60,enough,49.0,yet,44.0,ground,34.0,one,33.0,say,32.0,made,32.0,used,31.0
5aPwKjwNHr6dnCejLcPTVx,Trap Nation 🔊,oh,424,like,273,love,220,dum,196.0,know,155.0,got,148.0,dj,128.0,yeah,120.0,tell,119.0,na,116.0
37i9dQZF1DWY3UKS6jvnxr,Trap strefa,yeah,57,let,54,know,54,go,36.0,uh,36.0,ever,36.0,sad,36.0,na,21.0,someone,18.0,afraid,18.0
37i9dQZF1DWWr5uieiPUVM,Trapperz Brasil,yeah,32,hol,17,gang,14,wow,12.0,hype,12.0,dex,10.0,batendo,10.0,bate,10.0,minha,9.0,na,8.0
4N1ipiKR3xla8UXtE12XBm,Trending EDM by Nik Cooper,butt,79,make,54,love,46,feel,29.0,got,28.0,drop,27.0,club,26.0,go,25.0,see,24.0,rock,24.0
37i9dQZF1DX1bDvyV0IkZ3,Tropical Beats,love,281,know,88,let,86,like,68.0,go,53.0,oh,49.0,want,44.0,baby,42.0,give,42.0,yeah,37.0
37i9dQZF1DX0AMssoUKCz7,Tropical House,love,162,know,141,let,123,oh,113.0,like,97.0,go,94.0,got,90.0,ooh,77.0,feel,69.0,na,66.0
2oivDYqm1dQK4KbwVJTaf6,Tropical House 2020,love,88,na,75,know,57,like,52.0,dance,52.0,wan,47.0,something,39.0,never,38.0,night,37.0,simple,34.0
3YdAwfgQLMS4AN2WjRfRlb,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,got,116,love,112,like,110,yeah,98.0,na,90.0,baby,88.0,go,72.0,let,63.0,ooh,60.0,oh,57.0
37i9dQZF1DWSTc9FdySHtz,Tropical House Run 190 BPM,love,94,come,87,know,67,got,57.0,like,52.0,turn,37.0,baby,36.0,body,34.0,na,33.0,get,31.0
06zrBJ5cts5aemZmqe80J7,Tropical House 🌴,let,68,got,54,night,42,know,39.0,back,37.0,go,37.0,like,36.0,ah,35.0,love,32.0,oh,32.0
